C1,C2,C3,C4,L1,L2,L3,L4
177.0,59.0,4.6770440385417e-310,1.097070810032871e-120,14.0,13.0,6.94288207424716e-310,107.0
177.0,59.0,4.6770440385417e-310,1.097070810032871e-120,14.0,13.0,6.94288207424716e-310,107.0
177.0,59.0,4.6770440385417e-310,1.097070810032871e-120,14.0,13.0,6.94288207424716e-310,107.0
177.0,59.0,4.6770440385417e-310,1.097070810032871e-120,14.0,13.0,6.94288207424716e-310,107.0
177.0,59.0,4.6770440385417e-310,1.097070810032871e-120,14.0,13.0,6.94288207424716e-310,107.0
130.0,75.0,0.0,0.0,31.0,21.0,50.0,105.0
130.0,75.0,0.0,0.0,31.0,21.0,50.0,105.0
130.0,75.0,0.0,0.0,31.0,21.0,50.0,105.0
130.0,75.0,0.0,0.0,31.0,21.0,50.0,105.0
130.0,75.0,0.0,0.0,31.0,21.0,50.0,105.0
130.0,75.0,0.0,0.0,31.0,21.0,50.0,105.0
109.0,128.0,0.0,0.0,43.0,28.0,75.0,94.0
109.0,128.0,0.0,0.0,43.0,28.0,75.0,94.0
109.0,128.0,0.0,0.0,43.0,28.0,75.0,94.0
109.0,128.0,0.0,0.0,43.0,28.0,75.0,94.0
109.0,128.0,0.0,0.0,43.0,28.0,75.0,94.0
109.0,128.0,0.0,0.0,43.0,28.0,75.0,94.0
143.0,79.0,8.0,19.0,10.0,60.0,77.0,87.0
143.0,79.0,8.0,19.0,10.0,60.0,77.0,87.0
143.0,79.0,8.0,19.0,10.0,60.0,77.0,87.0
143.0,79.0,8.0,19.0,10.0,60.0,77.0,87.0
143.0,79.0,8.0,19.0,10.0,60.0,77.0,87.0
143.0,79.0,8.0,19.0,10.0,60.0,77.0,87.0
143.0,79.0,8.0,19.0,10.0,60.0,77.0,87.0
143.0,79.0,8.0,19.0,10.0,60.0,77.0,87.0
145.0,0.0,24.0,0.0,18.0,0.0,68.0,120.0
145.0,0.0,24.0,0.0,18.0,0.0,68.0,120.0
145.0,0.0,24.0,0.0,18.0,0.0,68.0,120.0
145.0,0.0,24.0,0.0,18.0,0.0,68.0,120.0
145.0,0.0,24.0,0.0,18.0,0.0,68.0,120.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
106.0,63.0,24.0,0.0,0.0,16.0,67.0,118.0
106.0,63.0,24.0,0.0,0.0,16.0,67.0,118.0
106.0,63.0,24.0,0.0,0.0,16.0,67.0,118.0
106.0,63.0,24.0,0.0,0.0,16.0,67.0,118.0
106.0,63.0,24.0,0.0,0.0,16.0,67.0,118.0
106.0,63.0,24.0,0.0,0.0,16.0,67.0,118.0
112.0,84.0,0.0,15.0,56.0,50.0,52.0,69.0
112.0,84.0,0.0,15.0,56.0,50.0,52.0,69.0
112.0,84.0,0.0,15.0,56.0,50.0,52.0,69.0
112.0,84.0,0.0,15.0,56.0,50.0,52.0,69.0
112.0,84.0,0.0,15.0,56.0,50.0,52.0,69.0
112.0,84.0,0.0,15.0,56.0,50.0,52.0,69.0
112.0,84.0,0.0,15.0,56.0,50.0,52.0,69.0
165.0,70.0,17.0,0.0,0.0,71.0,92.0,65.0
165.0,70.0,17.0,0.0,0.0,71.0,92.0,65.0
165.0,70.0,17.0,0.0,0.0,71.0,92.0,65.0
165.0,70.0,17.0,0.0,0.0,71.0,92.0,65.0
165.0,70.0,17.0,0.0,0.0,71.0,92.0,65.0
165.0,70.0,17.0,0.0,0.0,71.0,92.0,65.0
124.0,92.0,0.0,0.0,4095.0,30.0,59.0,94.0
124.0,92.0,0.0,0.0,4095.0,30.0,59.0,94.0
124.0,92.0,0.0,0.0,4095.0,30.0,59.0,94.0
124.0,92.0,0.0,0.0,4095.0,30.0,59.0,94.0
124.0,92.0,0.0,0.0,4095.0,30.0,59.0,94.0
124.0,92.0,0.0,0.0,4095.0,30.0,59.0,94.0
170.0,70.0,0.0,17.0,26.0,68.0,88.0,52.0
170.0,70.0,0.0,17.0,26.0,68.0,88.0,52.0
170.0,70.0,0.0,17.0,26.0,68.0,88.0,52.0
170.0,70.0,0.0,17.0,26.0,68.0,88.0,52.0
170.0,70.0,0.0,17.0,26.0,68.0,88.0,52.0
170.0,70.0,0.0,17.0,26.0,68.0,88.0,52.0
170.0,70.0,0.0,17.0,26.0,68.0,88.0,52.0
169.0,68.0,0.0,0.0,18.0,0.0,64.0,112.0
169.0,68.0,0.0,0.0,18.0,0.0,64.0,112.0
169.0,68.0,0.0,0.0,18.0,0.0,64.0,112.0
169.0,68.0,0.0,0.0,18.0,0.0,64.0,112.0
169.0,68.0,0.0,0.0,18.0,0.0,64.0,112.0
108.0,76.0,36.0,0.0,31.0,25.0,88.0,57.0
108.0,76.0,36.0,0.0,31.0,25.0,88.0,57.0
108.0,76.0,36.0,0.0,31.0,25.0,88.0,57.0
108.0,76.0,36.0,0.0,31.0,25.0,88.0,57.0
108.0,76.0,36.0,0.0,31.0,25.0,88.0,57.0
108.0,76.0,36.0,0.0,31.0,25.0,88.0,57.0
108.0,76.0,36.0,0.0,31.0,25.0,88.0,57.0
135.0,80.0,22.0,0.0,0.0,49.0,45.0,106.0
135.0,80.0,22.0,0.0,0.0,49.0,45.0,106.0
135.0,80.0,22.0,0.0,0.0,49.0,45.0,106.0
135.0,80.0,22.0,0.0,0.0,49.0,45.0,106.0
135.0,80.0,22.0,0.0,0.0,49.0,45.0,106.0
135.0,80.0,22.0,0.0,0.0,49.0,45.0,106.0
153.0,73.0,38.0,0.0,50.0,53.0,74.0,68.0
153.0,73.0,38.0,0.0,50.0,53.0,74.0,68.0
153.0,73.0,38.0,0.0,50.0,53.0,74.0,68.0
153.0,73.0,38.0,0.0,50.0,53.0,74.0,68.0
153.0,73.0,38.0,0.0,50.0,53.0,74.0,68.0
153.0,73.0,38.0,0.0,50.0,53.0,74.0,68.0
153.0,73.0,38.0,0.0,50.0,53.0,74.0,68.0
156.0,88.0,8.0,0.0,15.0,35.0,87.0,105.0
156.0,88.0,8.0,0.0,15.0,35.0,87.0,105.0
156.0,88.0,8.0,0.0,15.0,35.0,87.0,105.0
156.0,88.0,8.0,0.0,15.0,35.0,87.0,105.0
156.0,88.0,8.0,0.0,15.0,35.0,87.0,105.0
156.0,88.0,8.0,0.0,15.0,35.0,87.0,105.0
156.0,88.0,8.0,0.0,15.0,35.0,87.0,105.0
159.0,51.0,0.0,0.0,0.0,24.0,92.0,75.0
159.0,51.0,0.0,0.0,0.0,24.0,92.0,75.0
159.0,51.0,0.0,0.0,0.0,24.0,92.0,75.0
159.0,51.0,0.0,0.0,0.0,24.0,92.0,75.0
159.0,51.0,0.0,0.0,0.0,24.0,92.0,75.0
