C1,C2,C3,C4,L1,L2,L3,L4
19.0,26.0,36.0,120.0,10.0,43.0,64.0,83.0
19.0,26.0,36.0,120.0,10.0,43.0,64.0,83.0
19.0,26.0,36.0,120.0,10.0,43.0,64.0,83.0
19.0,26.0,36.0,120.0,10.0,43.0,64.0,83.0
19.0,26.0,36.0,120.0,10.0,43.0,64.0,83.0
19.0,26.0,36.0,120.0,10.0,43.0,64.0,83.0
19.0,26.0,36.0,120.0,10.0,43.0,64.0,83.0
19.0,26.0,36.0,120.0,10.0,43.0,64.0,83.0
25.0,33.0,56.0,120.0,17.0,33.0,87.0,96.0
25.0,33.0,56.0,120.0,17.0,33.0,87.0,96.0
25.0,33.0,56.0,120.0,17.0,33.0,87.0,96.0
25.0,33.0,56.0,120.0,17.0,33.0,87.0,96.0
25.0,33.0,56.0,120.0,17.0,33.0,87.0,96.0
25.0,33.0,56.0,120.0,17.0,33.0,87.0,96.0
25.0,33.0,56.0,120.0,17.0,33.0,87.0,96.0
25.0,33.0,56.0,120.0,17.0,33.0,87.0,96.0
71.0,33.0,44.0,94.0,15.0,73.0,74.0,76.0
71.0,33.0,44.0,94.0,15.0,73.0,74.0,76.0
71.0,33.0,44.0,94.0,15.0,73.0,74.0,76.0
71.0,33.0,44.0,94.0,15.0,73.0,74.0,76.0
71.0,33.0,44.0,94.0,15.0,73.0,74.0,76.0
71.0,33.0,44.0,94.0,15.0,73.0,74.0,76.0
71.0,33.0,44.0,94.0,15.0,73.0,74.0,76.0
71.0,33.0,44.0,94.0,15.0,73.0,74.0,76.0
22.0,74.0,94.0,28.0,18.0,50.0,42.0,102.0
22.0,74.0,94.0,28.0,18.0,50.0,42.0,102.0
22.0,74.0,94.0,28.0,18.0,50.0,42.0,102.0
22.0,74.0,94.0,28.0,18.0,50.0,42.0,102.0
22.0,74.0,94.0,28.0,18.0,50.0,42.0,102.0
22.0,74.0,94.0,28.0,18.0,50.0,42.0,102.0
22.0,74.0,94.0,28.0,18.0,50.0,42.0,102.0
22.0,74.0,94.0,28.0,18.0,50.0,42.0,102.0
36.0,46.0,91.0,82.0,36.0,20.0,78.0,123.0
36.0,46.0,91.0,82.0,36.0,20.0,78.0,123.0
36.0,46.0,91.0,82.0,36.0,20.0,78.0,123.0
36.0,46.0,91.0,82.0,36.0,20.0,78.0,123.0
36.0,46.0,91.0,82.0,36.0,20.0,78.0,123.0
36.0,46.0,91.0,82.0,36.0,20.0,78.0,123.0
36.0,46.0,91.0,82.0,36.0,20.0,78.0,123.0
36.0,46.0,91.0,82.0,36.0,20.0,78.0,123.0
43.0,50.0,58.0,97.0,33.0,85.0,62.0,60.0
43.0,50.0,58.0,97.0,33.0,85.0,62.0,60.0
43.0,50.0,58.0,97.0,33.0,85.0,62.0,60.0
43.0,50.0,58.0,97.0,33.0,85.0,62.0,60.0
43.0,50.0,58.0,97.0,33.0,85.0,62.0,60.0
43.0,50.0,58.0,97.0,33.0,85.0,62.0,60.0
43.0,50.0,58.0,97.0,33.0,85.0,62.0,60.0
43.0,50.0,58.0,97.0,33.0,85.0,62.0,60.0
29.0,55.0,103.0,69.0,23.0,58.0,94.0,78.0
29.0,55.0,103.0,69.0,23.0,58.0,94.0,78.0
