C1,C2,C3,C4,L1,L2,L3,L4
85.0,100.0,49.0,22.0,73.0,81.0,61.0,33.0
85.0,100.0,49.0,22.0,73.0,81.0,61.0,33.0
85.0,100.0,49.0,22.0,73.0,81.0,61.0,33.0
85.0,100.0,49.0,22.0,73.0,81.0,61.0,33.0
85.0,100.0,49.0,22.0,73.0,81.0,61.0,33.0
85.0,100.0,49.0,22.0,73.0,81.0,61.0,33.0
85.0,100.0,49.0,22.0,73.0,81.0,61.0,33.0
85.0,100.0,49.0,22.0,73.0,81.0,61.0,33.0
128.0,80.0,28.0,31.0,68.0,74.0,63.0,46.0
128.0,80.0,28.0,31.0,68.0,74.0,63.0,46.0
128.0,80.0,28.0,31.0,68.0,74.0,63.0,46.0
128.0,80.0,28.0,31.0,68.0,74.0,63.0,46.0
128.0,80.0,28.0,31.0,68.0,74.0,63.0,46.0
128.0,80.0,28.0,31.0,68.0,74.0,63.0,46.0
128.0,80.0,28.0,31.0,68.0,74.0,63.0,46.0
128.0,80.0,28.0,31.0,68.0,74.0,63.0,46.0
138.0,71.0,33.0,22.0,101.0,72.0,42.0,29.0
138.0,71.0,33.0,22.0,101.0,72.0,42.0,29.0
138.0,71.0,33.0,22.0,101.0,72.0,42.0,29.0
138.0,71.0,33.0,22.0,101.0,72.0,42.0,29.0
138.0,71.0,33.0,22.0,101.0,72.0,42.0,29.0
138.0,71.0,33.0,22.0,101.0,72.0,42.0,29.0
138.0,71.0,33.0,22.0,101.0,72.0,42.0,29.0
138.0,71.0,33.0,22.0,101.0,72.0,42.0,29.0
126.0,98.0,14.0,4.0,62.0,55.0,70.0,40.0
126.0,98.0,14.0,4.0,62.0,55.0,70.0,40.0
126.0,98.0,14.0,4.0,62.0,55.0,70.0,40.0
126.0,98.0,14.0,4.0,62.0,55.0,70.0,40.0
126.0,98.0,14.0,4.0,62.0,55.0,70.0,40.0
126.0,98.0,14.0,4.0,62.0,55.0,70.0,40.0
126.0,98.0,14.0,4.0,62.0,55.0,70.0,40.0
126.0,98.0,14.0,4.0,62.0,55.0,70.0,40.0
119.0,80.0,42.0,17.0,81.0,47.0,85.0,26.0
119.0,80.0,42.0,17.0,81.0,47.0,85.0,26.0
119.0,80.0,42.0,17.0,81.0,47.0,85.0,26.0
119.0,80.0,42.0,17.0,81.0,47.0,85.0,26.0
119.0,80.0,42.0,17.0,81.0,47.0,85.0,26.0
119.0,80.0,42.0,17.0,81.0,47.0,85.0,26.0
119.0,80.0,42.0,17.0,81.0,47.0,85.0,26.0
119.0,80.0,42.0,17.0,81.0,47.0,85.0,26.0
71.0,116.0,72.0,14.0,31.0,80.0,74.0,75.0
71.0,116.0,72.0,14.0,31.0,80.0,74.0,75.0
71.0,116.0,72.0,14.0,31.0,80.0,74.0,75.0
71.0,116.0,72.0,14.0,31.0,80.0,74.0,75.0
71.0,116.0,72.0,14.0,31.0,80.0,74.0,75.0
71.0,116.0,72.0,14.0,31.0,80.0,74.0,75.0
71.0,116.0,72.0,14.0,31.0,80.0,74.0,75.0
71.0,116.0,72.0,14.0,31.0,80.0,74.0,75.0
134.0,101.0,19.0,6.0,75.0,68.0,72.0,28.0
134.0,101.0,19.0,6.0,75.0,68.0,72.0,28.0
134.0,101.0,19.0,6.0,75.0,68.0,72.0,28.0
134.0,101.0,19.0,6.0,75.0,68.0,72.0,28.0
134.0,101.0,19.0,6.0,75.0,68.0,72.0,28.0
134.0,101.0,19.0,6.0,75.0,68.0,72.0,28.0
134.0,101.0,19.0,6.0,75.0,68.0,72.0,28.0
134.0,101.0,19.0,6.0,75.0,68.0,72.0,28.0
126.0,71.0,17.0,10.0,93.0,53.0,38.0,23.0
126.0,71.0,17.0,10.0,93.0,53.0,38.0,23.0
126.0,71.0,17.0,10.0,93.0,53.0,38.0,23.0
126.0,71.0,17.0,10.0,93.0,53.0,38.0,23.0
126.0,71.0,17.0,10.0,93.0,53.0,38.0,23.0
126.0,71.0,17.0,10.0,93.0,53.0,38.0,23.0
126.0,71.0,17.0,10.0,93.0,53.0,38.0,23.0
126.0,71.0,17.0,10.0,93.0,53.0,38.0,23.0
162.0,79.0,10.0,21.0,42.0,72.0,76.0,64.0
162.0,79.0,10.0,21.0,42.0,72.0,76.0,64.0
162.0,79.0,10.0,21.0,42.0,72.0,76.0,64.0
162.0,79.0,10.0,21.0,42.0,72.0,76.0,64.0
162.0,79.0,10.0,21.0,42.0,72.0,76.0,64.0
162.0,79.0,10.0,21.0,42.0,72.0,76.0,64.0
162.0,79.0,10.0,21.0,42.0,72.0,76.0,64.0
162.0,79.0,10.0,21.0,42.0,72.0,76.0,64.0
95.0,81.0,52.0,21.0,84.0,71.0,42.0,5.0
95.0,81.0,52.0,21.0,84.0,71.0,42.0,5.0
95.0,81.0,52.0,21.0,84.0,71.0,42.0,5.0
95.0,81.0,52.0,21.0,84.0,71.0,42.0,5.0
95.0,81.0,52.0,21.0,84.0,71.0,42.0,5.0
95.0,81.0,52.0,21.0,84.0,71.0,42.0,5.0
95.0,81.0,52.0,21.0,84.0,71.0,42.0,5.0
95.0,81.0,52.0,21.0,84.0,71.0,42.0,5.0
154.0,67.0,8.0,20.0,79.0,81.0,56.0,16.0
154.0,67.0,8.0,20.0,79.0,81.0,56.0,16.0
154.0,67.0,8.0,20.0,79.0,81.0,56.0,16.0
154.0,67.0,8.0,20.0,79.0,81.0,56.0,16.0
154.0,67.0,8.0,20.0,79.0,81.0,56.0,16.0
154.0,67.0,8.0,20.0,79.0,81.0,56.0,16.0
154.0,67.0,8.0,20.0,79.0,81.0,56.0,16.0
154.0,67.0,8.0,20.0,79.0,81.0,56.0,16.0
63.0,95.0,68.0,24.0,90.0,66.0,63.0,26.0
63.0,95.0,68.0,24.0,90.0,66.0,63.0,26.0
63.0,95.0,68.0,24.0,90.0,66.0,63.0,26.0
63.0,95.0,68.0,24.0,90.0,66.0,63.0,26.0
63.0,95.0,68.0,24.0,90.0,66.0,63.0,26.0
63.0,95.0,68.0,24.0,90.0,66.0,63.0,26.0
63.0,95.0,68.0,24.0,90.0,66.0,63.0,26.0
63.0,95.0,68.0,24.0,90.0,66.0,63.0,26.0
