C1,C2,C3,C4,L1,L2,L3,L4
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
136.0,88.0,17.0,1.097070810032871e-120,25.0,24.0,81.0,106.0
95.0,62.0,56.0,9.0,15.0,22.0,66.0,109.0
95.0,62.0,56.0,9.0,15.0,22.0,66.0,109.0
95.0,62.0,56.0,9.0,15.0,22.0,66.0,109.0
95.0,62.0,56.0,9.0,15.0,22.0,66.0,109.0
95.0,62.0,56.0,9.0,15.0,22.0,66.0,109.0
95.0,62.0,56.0,9.0,15.0,22.0,66.0,109.0
95.0,62.0,56.0,9.0,15.0,22.0,66.0,109.0
95.0,62.0,56.0,9.0,15.0,22.0,66.0,109.0
86.0,60.0,51.0,20.0,9.0,11.0,47.0,136.0
86.0,60.0,51.0,20.0,9.0,11.0,47.0,136.0
86.0,60.0,51.0,20.0,9.0,11.0,47.0,136.0
86.0,60.0,51.0,20.0,9.0,11.0,47.0,136.0
86.0,60.0,51.0,20.0,9.0,11.0,47.0,136.0
86.0,60.0,51.0,20.0,9.0,11.0,47.0,136.0
86.0,60.0,51.0,20.0,9.0,11.0,47.0,136.0
86.0,60.0,51.0,20.0,9.0,11.0,47.0,136.0
141.0,47.0,52.0,18.0,21.0,19.0,92.0,115.0
141.0,47.0,52.0,18.0,21.0,19.0,92.0,115.0
141.0,47.0,52.0,18.0,21.0,19.0,92.0,115.0
141.0,47.0,52.0,18.0,21.0,19.0,92.0,115.0
141.0,47.0,52.0,18.0,21.0,19.0,92.0,115.0
141.0,47.0,52.0,18.0,21.0,19.0,92.0,115.0
141.0,47.0,52.0,18.0,21.0,19.0,92.0,115.0
141.0,47.0,52.0,18.0,21.0,19.0,92.0,115.0
113.0,95.0,10.0,5.0,39.0,51.0,69.0,52.0
113.0,95.0,10.0,5.0,39.0,51.0,69.0,52.0
113.0,95.0,10.0,5.0,39.0,51.0,69.0,52.0
113.0,95.0,10.0,5.0,39.0,51.0,69.0,52.0
113.0,95.0,10.0,5.0,39.0,51.0,69.0,52.0
113.0,95.0,10.0,5.0,39.0,51.0,69.0,52.0
113.0,95.0,10.0,5.0,39.0,51.0,69.0,52.0
113.0,95.0,10.0,5.0,39.0,51.0,69.0,52.0
100.0,81.0,43.0,14.0,45.0,48.0,63.0,68.0
100.0,81.0,43.0,14.0,45.0,48.0,63.0,68.0
100.0,81.0,43.0,14.0,45.0,48.0,63.0,68.0
100.0,81.0,43.0,14.0,45.0,48.0,63.0,68.0
100.0,81.0,43.0,14.0,45.0,48.0,63.0,68.0
100.0,81.0,43.0,14.0,45.0,48.0,63.0,68.0
100.0,81.0,43.0,14.0,45.0,48.0,63.0,68.0
100.0,81.0,43.0,14.0,45.0,48.0,63.0,68.0
77.0,79.0,50.0,2.0,25.0,16.0,89.0,70.0
77.0,79.0,50.0,2.0,25.0,16.0,89.0,70.0
77.0,79.0,50.0,2.0,25.0,16.0,89.0,70.0
77.0,79.0,50.0,2.0,25.0,16.0,89.0,70.0
77.0,79.0,50.0,2.0,25.0,16.0,89.0,70.0
77.0,79.0,50.0,2.0,25.0,16.0,89.0,70.0
77.0,79.0,50.0,2.0,25.0,16.0,89.0,70.0
77.0,79.0,50.0,2.0,25.0,16.0,89.0,70.0
116.0,91.0,26.0,9.0,29.0,17.0,75.0,106.0
116.0,91.0,26.0,9.0,29.0,17.0,75.0,106.0
116.0,91.0,26.0,9.0,29.0,17.0,75.0,106.0
116.0,91.0,26.0,9.0,29.0,17.0,75.0,106.0
116.0,91.0,26.0,9.0,29.0,17.0,75.0,106.0
116.0,91.0,26.0,9.0,29.0,17.0,75.0,106.0
116.0,91.0,26.0,9.0,29.0,17.0,75.0,106.0
116.0,91.0,26.0,9.0,29.0,17.0,75.0,106.0
45.0,84.0,104.0,16.0,6.0,22.0,30.0,185.0
45.0,84.0,104.0,16.0,6.0,22.0,30.0,185.0
45.0,84.0,104.0,16.0,6.0,22.0,30.0,185.0
45.0,84.0,104.0,16.0,6.0,22.0,30.0,185.0
45.0,84.0,104.0,16.0,6.0,22.0,30.0,185.0
45.0,84.0,104.0,16.0,6.0,22.0,30.0,185.0
45.0,84.0,104.0,16.0,6.0,22.0,30.0,185.0
45.0,84.0,104.0,16.0,6.0,22.0,30.0,185.0
112.0,86.0,12.0,43.0,30.0,36.0,81.0,91.0
112.0,86.0,12.0,43.0,30.0,36.0,81.0,91.0
112.0,86.0,12.0,43.0,30.0,36.0,81.0,91.0
112.0,86.0,12.0,43.0,30.0,36.0,81.0,91.0
112.0,86.0,12.0,43.0,30.0,36.0,81.0,91.0
112.0,86.0,12.0,43.0,30.0,36.0,81.0,91.0
112.0,86.0,12.0,43.0,30.0,36.0,81.0,91.0
112.0,86.0,12.0,43.0,30.0,36.0,81.0,91.0
85.0,100.0,40.0,20.0,17.0,46.0,59.0,118.0
85.0,100.0,40.0,20.0,17.0,46.0,59.0,118.0
85.0,100.0,40.0,20.0,17.0,46.0,59.0,118.0
85.0,100.0,40.0,20.0,17.0,46.0,59.0,118.0
85.0,100.0,40.0,20.0,17.0,46.0,59.0,118.0
85.0,100.0,40.0,20.0,17.0,46.0,59.0,118.0
85.0,100.0,40.0,20.0,17.0,46.0,59.0,118.0
85.0,100.0,40.0,20.0,17.0,46.0,59.0,118.0
91.0,80.0,50.0,13.0,31.0,31.0,68.0,102.0
91.0,80.0,50.0,13.0,31.0,31.0,68.0,102.0
91.0,80.0,50.0,13.0,31.0,31.0,68.0,102.0
91.0,80.0,50.0,13.0,31.0,31.0,68.0,102.0
91.0,80.0,50.0,13.0,31.0,31.0,68.0,102.0
91.0,80.0,50.0,13.0,31.0,31.0,68.0,102.0
91.0,80.0,50.0,13.0,31.0,31.0,68.0,102.0
91.0,80.0,50.0,13.0,31.0,31.0,68.0,102.0
98.0,101.0,50.0,12.0,27.0,57.0,87.0,81.0
98.0,101.0,50.0,12.0,27.0,57.0,87.0,81.0
98.0,101.0,50.0,12.0,27.0,57.0,87.0,81.0
98.0,101.0,50.0,12.0,27.0,57.0,87.0,81.0
