C1,C2,C3,C4,L1,L2,L3,L4
38.0,19.0,83.0,108.0,37.0,6.94288207439247e-310,72.0,125.0
38.0,19.0,83.0,108.0,37.0,6.94288207439247e-310,72.0,125.0
38.0,19.0,83.0,108.0,37.0,6.94288207439247e-310,72.0,125.0
38.0,19.0,83.0,108.0,37.0,6.94288207439247e-310,72.0,125.0
38.0,19.0,83.0,108.0,37.0,6.94288207439247e-310,72.0,125.0
38.0,19.0,83.0,108.0,37.0,6.94288207439247e-310,72.0,125.0
38.0,19.0,83.0,108.0,37.0,6.94288207439247e-310,72.0,125.0
28.0,31.0,81.0,71.0,14.0,28.0,83.0,87.0
28.0,31.0,81.0,71.0,14.0,28.0,83.0,87.0
28.0,31.0,81.0,71.0,14.0,28.0,83.0,87.0
28.0,31.0,81.0,71.0,14.0,28.0,83.0,87.0
28.0,31.0,81.0,71.0,14.0,28.0,83.0,87.0
28.0,31.0,81.0,71.0,14.0,28.0,83.0,87.0
28.0,31.0,81.0,71.0,14.0,28.0,83.0,87.0
28.0,31.0,81.0,71.0,14.0,28.0,83.0,87.0
38.0,48.0,49.0,97.0,16.0,40.0,83.0,1.0
38.0,48.0,49.0,97.0,16.0,40.0,83.0,1.0
38.0,48.0,49.0,97.0,16.0,40.0,83.0,1.0
38.0,48.0,49.0,97.0,16.0,40.0,83.0,1.0
38.0,48.0,49.0,97.0,16.0,40.0,83.0,1.0
38.0,48.0,49.0,97.0,16.0,40.0,83.0,1.0
38.0,48.0,49.0,97.0,16.0,40.0,83.0,1.0
38.0,48.0,49.0,97.0,16.0,40.0,83.0,1.0
29.0,14.0,112.0,80.0,32.0,75.0,57.0,69.0
29.0,14.0,112.0,80.0,32.0,75.0,57.0,69.0
29.0,14.0,112.0,80.0,32.0,75.0,57.0,69.0
29.0,14.0,112.0,80.0,32.0,75.0,57.0,69.0
29.0,14.0,112.0,80.0,32.0,75.0,57.0,69.0
29.0,14.0,112.0,80.0,32.0,75.0,57.0,69.0
29.0,14.0,112.0,80.0,32.0,75.0,57.0,69.0
29.0,14.0,112.0,80.0,32.0,75.0,57.0,69.0
57.0,5.0,77.0,101.0,19.0,52.0,80.0,81.0
57.0,5.0,77.0,101.0,19.0,52.0,80.0,81.0
