C1,C2,C3,C4,L1,L2,L3,L4
4.677035754574e-310,28.0,71.0,81.0,5e-324,6.94288207439247e-310,66.0,68.0
4.677035754574e-310,28.0,71.0,81.0,5e-324,6.94288207439247e-310,66.0,68.0
4.677035754574e-310,28.0,71.0,81.0,5e-324,6.94288207439247e-310,66.0,68.0
4.677035754574e-310,28.0,71.0,81.0,5e-324,6.94288207439247e-310,66.0,68.0
4.677035754574e-310,28.0,71.0,81.0,5e-324,6.94288207439247e-310,66.0,68.0
23.0,12.0,90.0,92.0,13.0,12.0,70.0,123.0
23.0,12.0,90.0,92.0,13.0,12.0,70.0,123.0
23.0,12.0,90.0,92.0,13.0,12.0,70.0,123.0
23.0,12.0,90.0,92.0,13.0,12.0,70.0,123.0
23.0,12.0,90.0,92.0,13.0,12.0,70.0,123.0
23.0,12.0,90.0,92.0,13.0,12.0,70.0,123.0
23.0,12.0,90.0,92.0,13.0,12.0,70.0,123.0
23.0,12.0,90.0,92.0,13.0,12.0,70.0,123.0
24.0,26.0,65.0,101.0,7.0,13.0,73.0,124.0
24.0,26.0,65.0,101.0,7.0,13.0,73.0,124.0
24.0,26.0,65.0,101.0,7.0,13.0,73.0,124.0
24.0,26.0,65.0,101.0,7.0,13.0,73.0,124.0
24.0,26.0,65.0,101.0,7.0,13.0,73.0,124.0
24.0,26.0,65.0,101.0,7.0,13.0,73.0,124.0
24.0,26.0,65.0,101.0,7.0,13.0,73.0,124.0
24.0,26.0,65.0,101.0,7.0,13.0,73.0,124.0
33.0,28.0,62.0,114.0,21.0,15.0,66.0,134.0
33.0,28.0,62.0,114.0,21.0,15.0,66.0,134.0
33.0,28.0,62.0,114.0,21.0,15.0,66.0,134.0
33.0,28.0,62.0,114.0,21.0,15.0,66.0,134.0
33.0,28.0,62.0,114.0,21.0,15.0,66.0,134.0
33.0,28.0,62.0,114.0,21.0,15.0,66.0,134.0
33.0,28.0,62.0,114.0,21.0,15.0,66.0,134.0
