C1,C2,C3,C4,L1,L2,L3,L4
37.0,52.0,73.0,54.0,23.0,25.0,97.0,66.0
37.0,52.0,73.0,54.0,23.0,25.0,97.0,66.0
37.0,52.0,73.0,54.0,23.0,25.0,97.0,66.0
37.0,52.0,73.0,54.0,23.0,25.0,97.0,66.0
37.0,52.0,73.0,54.0,23.0,25.0,97.0,66.0
37.0,52.0,73.0,54.0,23.0,25.0,97.0,66.0
37.0,52.0,73.0,54.0,23.0,25.0,97.0,66.0
37.0,52.0,73.0,54.0,23.0,25.0,97.0,66.0
58.0,53.0,66.0,43.0,22.0,20.0,63.0,106.0
58.0,53.0,66.0,43.0,22.0,20.0,63.0,106.0
58.0,53.0,66.0,43.0,22.0,20.0,63.0,106.0
58.0,53.0,66.0,43.0,22.0,20.0,63.0,106.0
58.0,53.0,66.0,43.0,22.0,20.0,63.0,106.0
58.0,53.0,66.0,43.0,22.0,20.0,63.0,106.0
58.0,53.0,66.0,43.0,22.0,20.0,63.0,106.0
58.0,53.0,66.0,43.0,22.0,20.0,63.0,106.0
32.0,34.0,64.0,85.0,37.0,39.0,53.0,83.0
32.0,34.0,64.0,85.0,37.0,39.0,53.0,83.0
32.0,34.0,64.0,85.0,37.0,39.0,53.0,83.0
32.0,34.0,64.0,85.0,37.0,39.0,53.0,83.0
32.0,34.0,64.0,85.0,37.0,39.0,53.0,83.0
32.0,34.0,64.0,85.0,37.0,39.0,53.0,83.0
32.0,34.0,64.0,85.0,37.0,39.0,53.0,83.0
32.0,34.0,64.0,85.0,37.0,39.0,53.0,83.0
35.0,55.0,31.0,116.0,25.0,42.0,68.0,100.0
35.0,55.0,31.0,116.0,25.0,42.0,68.0,100.0
35.0,55.0,31.0,116.0,25.0,42.0,68.0,100.0
35.0,55.0,31.0,116.0,25.0,42.0,68.0,100.0
35.0,55.0,31.0,116.0,25.0,42.0,68.0,100.0
35.0,55.0,31.0,116.0,25.0,42.0,68.0,100.0
35.0,55.0,31.0,116.0,25.0,42.0,68.0,100.0
35.0,55.0,31.0,116.0,25.0,42.0,68.0,100.0
65.0,88.0,69.0,39.0,34.0,24.0,69.0,123.0
65.0,88.0,69.0,39.0,34.0,24.0,69.0,123.0
65.0,88.0,69.0,39.0,34.0,24.0,69.0,123.0
65.0,88.0,69.0,39.0,34.0,24.0,69.0,123.0
