C1,C2,C3,C4,L1,L2,L3,L4
97.0,84.0,42.0,20.0,12.0,30.0,104.0,78.0
97.0,84.0,42.0,20.0,12.0,30.0,104.0,78.0
97.0,84.0,42.0,20.0,12.0,30.0,104.0,78.0
97.0,84.0,42.0,20.0,12.0,30.0,104.0,78.0
97.0,84.0,42.0,20.0,12.0,30.0,104.0,78.0
97.0,84.0,42.0,20.0,12.0,30.0,104.0,78.0
97.0,84.0,42.0,20.0,12.0,30.0,104.0,78.0
97.0,84.0,42.0,20.0,12.0,30.0,104.0,78.0
55.0,92.0,40.0,37.0,12.0,12.0,60.0,135.0
55.0,92.0,40.0,37.0,12.0,12.0,60.0,135.0
55.0,92.0,40.0,37.0,12.0,12.0,60.0,135.0
55.0,92.0,40.0,37.0,12.0,12.0,60.0,135.0
55.0,92.0,40.0,37.0,12.0,12.0,60.0,135.0
55.0,92.0,40.0,37.0,12.0,12.0,60.0,135.0
55.0,92.0,40.0,37.0,12.0,12.0,60.0,135.0
55.0,92.0,40.0,37.0,12.0,12.0,60.0,135.0
66.0,67.0,59.0,18.0,24.0,28.0,56.0,98.0
66.0,67.0,59.0,18.0,24.0,28.0,56.0,98.0
66.0,67.0,59.0,18.0,24.0,28.0,56.0,98.0
66.0,67.0,59.0,18.0,24.0,28.0,56.0,98.0
66.0,67.0,59.0,18.0,24.0,28.0,56.0,98.0
66.0,67.0,59.0,18.0,24.0,28.0,56.0,98.0
66.0,67.0,59.0,18.0,24.0,28.0,56.0,98.0
66.0,67.0,59.0,18.0,24.0,28.0,56.0,98.0
88.0,65.0,52.0,29.0,20.0,32.0,109.0,67.0
88.0,65.0,52.0,29.0,20.0,32.0,109.0,67.0
88.0,65.0,52.0,29.0,20.0,32.0,109.0,67.0
88.0,65.0,52.0,29.0,20.0,32.0,109.0,67.0
88.0,65.0,52.0,29.0,20.0,32.0,109.0,67.0
88.0,65.0,52.0,29.0,20.0,32.0,109.0,67.0
88.0,65.0,52.0,29.0,20.0,32.0,109.0,67.0
88.0,65.0,52.0,29.0,20.0,32.0,109.0,67.0
