C1,C2,C3,C4,L1,L2,L3,L4
81.0,99.0,62.0,19.0,104.0,73.0,63.0,4.67703575471197e-310
81.0,99.0,62.0,19.0,104.0,73.0,63.0,4.67703575471197e-310
81.0,99.0,62.0,19.0,104.0,73.0,63.0,4.67703575471197e-310
81.0,99.0,62.0,19.0,104.0,73.0,63.0,4.67703575471197e-310
81.0,99.0,62.0,19.0,104.0,73.0,63.0,4.67703575471197e-310
81.0,99.0,62.0,19.0,104.0,73.0,63.0,4.67703575471197e-310
81.0,99.0,62.0,19.0,104.0,73.0,63.0,4.67703575471197e-310
49.0,65.0,70.0,42.0,74.0,48.0,59.0,39.0
49.0,65.0,70.0,42.0,74.0,48.0,59.0,39.0
49.0,65.0,70.0,42.0,74.0,48.0,59.0,39.0
49.0,65.0,70.0,42.0,74.0,48.0,59.0,39.0
49.0,65.0,70.0,42.0,74.0,48.0,59.0,39.0
49.0,65.0,70.0,42.0,74.0,48.0,59.0,39.0
49.0,65.0,70.0,42.0,74.0,48.0,59.0,39.0
49.0,65.0,70.0,42.0,74.0,48.0,59.0,39.0
46.0,58.0,70.0,62.0,87.0,58.0,53.0,33.0
46.0,58.0,70.0,62.0,87.0,58.0,53.0,33.0
46.0,58.0,70.0,62.0,87.0,58.0,53.0,33.0
46.0,58.0,70.0,62.0,87.0,58.0,53.0,33.0
46.0,58.0,70.0,62.0,87.0,58.0,53.0,33.0
46.0,58.0,70.0,62.0,87.0,58.0,53.0,33.0
46.0,58.0,70.0,62.0,87.0,58.0,53.0,33.0
46.0,58.0,70.0,62.0,87.0,58.0,53.0,33.0
68.0,82.0,62.0,34.0,78.0,82.0,53.0,27.0
68.0,82.0,62.0,34.0,78.0,82.0,53.0,27.0
68.0,82.0,62.0,34.0,78.0,82.0,53.0,27.0
68.0,82.0,62.0,34.0,78.0,82.0,53.0,27.0
68.0,82.0,62.0,34.0,78.0,82.0,53.0,27.0
68.0,82.0,62.0,34.0,78.0,82.0,53.0,27.0
68.0,82.0,62.0,34.0,78.0,82.0,53.0,27.0
68.0,82.0,62.0,34.0,78.0,82.0,53.0,27.0
58.0,94.0,64.0,16.0,34.0,65.0,73.0,53.0
58.0,94.0,64.0,16.0,34.0,65.0,73.0,53.0
58.0,94.0,64.0,16.0,34.0,65.0,73.0,53.0
58.0,94.0,64.0,16.0,34.0,65.0,73.0,53.0
58.0,94.0,64.0,16.0,34.0,65.0,73.0,53.0
58.0,94.0,64.0,16.0,34.0,65.0,73.0,53.0
58.0,94.0,64.0,16.0,34.0,65.0,73.0,53.0
58.0,94.0,64.0,16.0,34.0,65.0,73.0,53.0
48.0,111.0,42.0,50.0,57.0,70.0,74.0,40.0
48.0,111.0,42.0,50.0,57.0,70.0,74.0,40.0
48.0,111.0,42.0,50.0,57.0,70.0,74.0,40.0
48.0,111.0,42.0,50.0,57.0,70.0,74.0,40.0
48.0,111.0,42.0,50.0,57.0,70.0,74.0,40.0
48.0,111.0,42.0,50.0,57.0,70.0,74.0,40.0
48.0,111.0,42.0,50.0,57.0,70.0,74.0,40.0
48.0,111.0,42.0,50.0,57.0,70.0,74.0,40.0
43.0,84.0,81.0,45.0,109.0,64.0,57.0,18.0
43.0,84.0,81.0,45.0,109.0,64.0,57.0,18.0
43.0,84.0,81.0,45.0,109.0,64.0,57.0,18.0
43.0,84.0,81.0,45.0,109.0,64.0,57.0,18.0
43.0,84.0,81.0,45.0,109.0,64.0,57.0,18.0
43.0,84.0,81.0,45.0,109.0,64.0,57.0,18.0
43.0,84.0,81.0,45.0,109.0,64.0,57.0,18.0
43.0,84.0,81.0,45.0,109.0,64.0,57.0,18.0
73.0,68.0,73.0,59.0,46.0,94.0,86.0,39.0
73.0,68.0,73.0,59.0,46.0,94.0,86.0,39.0
73.0,68.0,73.0,59.0,46.0,94.0,86.0,39.0
73.0,68.0,73.0,59.0,46.0,94.0,86.0,39.0
73.0,68.0,73.0,59.0,46.0,94.0,86.0,39.0
73.0,68.0,73.0,59.0,46.0,94.0,86.0,39.0
73.0,68.0,73.0,59.0,46.0,94.0,86.0,39.0
73.0,68.0,73.0,59.0,46.0,94.0,86.0,39.0
87.0,92.0,59.0,47.0,103.0,61.0,84.0,27.0
87.0,92.0,59.0,47.0,103.0,61.0,84.0,27.0
87.0,92.0,59.0,47.0,103.0,61.0,84.0,27.0
87.0,92.0,59.0,47.0,103.0,61.0,84.0,27.0
87.0,92.0,59.0,47.0,103.0,61.0,84.0,27.0
87.0,92.0,59.0,47.0,103.0,61.0,84.0,27.0
87.0,92.0,59.0,47.0,103.0,61.0,84.0,27.0
87.0,92.0,59.0,47.0,103.0,61.0,84.0,27.0
47.0,82.0,53.0,58.0,60.0,65.0,59.0,53.0
47.0,82.0,53.0,58.0,60.0,65.0,59.0,53.0
47.0,82.0,53.0,58.0,60.0,65.0,59.0,53.0
47.0,82.0,53.0,58.0,60.0,65.0,59.0,53.0
47.0,82.0,53.0,58.0,60.0,65.0,59.0,53.0
47.0,82.0,53.0,58.0,60.0,65.0,59.0,53.0
47.0,82.0,53.0,58.0,60.0,65.0,59.0,53.0
47.0,82.0,53.0,58.0,60.0,65.0,59.0,53.0
13.0,82.0,89.0,24.0,7.0,65.0,79.0,56.0
13.0,82.0,89.0,24.0,7.0,65.0,79.0,56.0
13.0,82.0,89.0,24.0,7.0,65.0,79.0,56.0
13.0,82.0,89.0,24.0,7.0,65.0,79.0,56.0
13.0,82.0,89.0,24.0,7.0,65.0,79.0,56.0
13.0,82.0,89.0,24.0,7.0,65.0,79.0,56.0
13.0,82.0,89.0,24.0,7.0,65.0,79.0,56.0
13.0,82.0,89.0,24.0,7.0,65.0,79.0,56.0
46.0,83.0,41.0,47.0,41.0,58.0,80.0,30.0
46.0,83.0,41.0,47.0,41.0,58.0,80.0,30.0
46.0,83.0,41.0,47.0,41.0,58.0,80.0,30.0
46.0,83.0,41.0,47.0,41.0,58.0,80.0,30.0
46.0,83.0,41.0,47.0,41.0,58.0,80.0,30.0
46.0,83.0,41.0,47.0,41.0,58.0,80.0,30.0
46.0,83.0,41.0,47.0,41.0,58.0,80.0,30.0
46.0,83.0,41.0,47.0,41.0,58.0,80.0,30.0
92.0,86.0,45.0,39.0,47.0,97.0,88.0,19.0
92.0,86.0,45.0,39.0,47.0,97.0,88.0,19.0
92.0,86.0,45.0,39.0,47.0,97.0,88.0,19.0
92.0,86.0,45.0,39.0,47.0,97.0,88.0,19.0
92.0,86.0,45.0,39.0,47.0,97.0,88.0,19.0
92.0,86.0,45.0,39.0,47.0,97.0,88.0,19.0
92.0,86.0,45.0,39.0,47.0,97.0,88.0,19.0
92.0,86.0,45.0,39.0,47.0,97.0,88.0,19.0
39.0,78.0,89.0,38.0,69.0,111.0,17.0,38.0
39.0,78.0,89.0,38.0,69.0,111.0,17.0,38.0
39.0,78.0,89.0,38.0,69.0,111.0,17.0,38.0
39.0,78.0,89.0,38.0,69.0,111.0,17.0,38.0
39.0,78.0,89.0,38.0,69.0,111.0,17.0,38.0
39.0,78.0,89.0,38.0,69.0,111.0,17.0,38.0
39.0,78.0,89.0,38.0,69.0,111.0,17.0,38.0
39.0,78.0,89.0,38.0,69.0,111.0,17.0,38.0
71.0,54.0,54.0,57.0,75.0,63.0,50.0,35.0
71.0,54.0,54.0,57.0,75.0,63.0,50.0,35.0
71.0,54.0,54.0,57.0,75.0,63.0,50.0,35.0
71.0,54.0,54.0,57.0,75.0,63.0,50.0,35.0
71.0,54.0,54.0,57.0,75.0,63.0,50.0,35.0
71.0,54.0,54.0,57.0,75.0,63.0,50.0,35.0
71.0,54.0,54.0,57.0,75.0,63.0,50.0,35.0
71.0,54.0,54.0,57.0,75.0,63.0,50.0,35.0
50.0,92.0,68.0,42.0,53.0,84.0,70.0,34.0
50.0,92.0,68.0,42.0,53.0,84.0,70.0,34.0
50.0,92.0,68.0,42.0,53.0,84.0,70.0,34.0
50.0,92.0,68.0,42.0,53.0,84.0,70.0,34.0
50.0,92.0,68.0,42.0,53.0,84.0,70.0,34.0
50.0,92.0,68.0,42.0,53.0,84.0,70.0,34.0
50.0,92.0,68.0,42.0,53.0,84.0,70.0,34.0
50.0,92.0,68.0,42.0,53.0,84.0,70.0,34.0
98.0,3.0,47.0,29.0,37.0,52.0,85.0,77.0
98.0,3.0,47.0,29.0,37.0,52.0,85.0,77.0
98.0,3.0,47.0,29.0,37.0,52.0,85.0,77.0
98.0,3.0,47.0,29.0,37.0,52.0,85.0,77.0
98.0,3.0,47.0,29.0,37.0,52.0,85.0,77.0
98.0,3.0,47.0,29.0,37.0,52.0,85.0,77.0
98.0,3.0,47.0,29.0,37.0,52.0,85.0,77.0
98.0,3.0,47.0,29.0,37.0,52.0,85.0,77.0
63.0,77.0,42.0,33.0,50.0,79.0,45.0,33.0
63.0,77.0,42.0,33.0,50.0,79.0,45.0,33.0
63.0,77.0,42.0,33.0,50.0,79.0,45.0,33.0
63.0,77.0,42.0,33.0,50.0,79.0,45.0,33.0
63.0,77.0,42.0,33.0,50.0,79.0,45.0,33.0
63.0,77.0,42.0,33.0,50.0,79.0,45.0,33.0
63.0,77.0,42.0,33.0,50.0,79.0,45.0,33.0
63.0,77.0,42.0,33.0,50.0,79.0,45.0,33.0
